List,Item,Contrast,Type,Target,Distractor,Cohort,SignerID,Signer,TargetMovie,DistractorMovie,SignMovie,Side
6,A6,C E,Envelope,C,E,1,41,Omar,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
6,A8,D E,Envelope,E,D,2,230,Orlando,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
6,A4,TE,Order,TE,BL,1,215,Luis,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
6,A1,TM,Order,BL,TM,2,217,Lea,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
6,A7,TH,Order,TH,BL,1,27,Maria Eugenia,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
6,B3,A B,Envelope,B,A,1,1,Mabel,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
6,B4,A D,Envelope,A,D,2,184,Cinthya,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
6,B6,B C,Envelope,C,B,1,49,Carlos,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
6,B1,C E,Envelope,E,C,2,159,Harry,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
6,B8,D E,Envelope,D,E,1,36,January,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
6,B2,TE,Order,BL,TE,2,145,Ivonne,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
6,B7,TM,Order,TM,BL,1,200,Juanita,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
6,B5,TH,Order,TH,BL,2,159,Harry,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
7,A5,A B,Envelope,A,B,2,217,Lea,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
7,A3,A D,Envelope,D,A,1,39,Franklin,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
7,A2,B C,Envelope,B,C,2,230,Orlando,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
7,A6,C E,Envelope,C,E,1,41,Omar,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
7,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
7,A4,TE,Order,TE,BL,1,36,January,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
7,A1,TM,Order,BL,TM,2,108,Grechin,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
7,A7,TH,Order,TH,BL,1,49,Carlos,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
7,B3,A B,Envelope,B,A,1,1,Mabel,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
7,B4,A D,Envelope,A,D,2,145,Ivonne,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
7,B6,B C,Envelope,C,B,1,215,Luis,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
7,B1,C E,Envelope,E,C,2,184,Cinthya,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
7,B8,D E,Envelope,D,E,1,27,Maria Eugenia,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
7,B2,TE,Order,BL,TE,2,217,Lea,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
7,B7,TM,Order,TM,BL,1,200,Juanita,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
7,B5,TH,Order,TH,BL,2,230,Orlando,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
8,A5,A B,Envelope,A,B,2,159,Harry,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
8,A3,A D,Envelope,D,A,1,1,Mabel,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
8,A2,B C,Envelope,B,C,2,230,Orlando,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
8,A6,C E,Envelope,C,E,1,41,Omar,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
8,A8,D E,Envelope,E,D,2,108,Grechin,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
8,A4,TE,Order,TE,BL,1,200,Juanita,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
8,A1,TM,Order,BL,TM,2,217,Lea,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
8,A7,TH,Order,TH,BL,1,39,Franklin,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
8,B3,A B,Envelope,B,A,1,215,Luis,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
8,B4,A D,Envelope,A,D,2,145,Ivonne,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
8,B6,B C,Envelope,C,B,1,49,Carlos,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
8,B1,C E,Envelope,E,C,2,184,Cinthya,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
8,B8,D E,Envelope,D,E,1,36,January,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
8,B2,TE,Order,BL,TE,2,159,Harry,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
8,B7,TM,Order,TM,BL,1,27,Maria Eugenia,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
8,B5,TH,Order,TH,BL,2,108,Grechin,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
