List,Item,Contrast,Type,Target,Distractor,Cohort,Signer ID,Signer,TargetMovie,DistractorMovie,SignMovie,Side,Side
2,A1,TM,Order,BL,TM,2,230,Orlando,David_4B BL.mov,David_4B TM2.mov,230_2_A1_Order_BL.mov,T,Left
2,A2,B C,Envelope,B,C,2,159,Harry,8_Exemplar B.mov,8_Exemplar C.mov,159_2_A2_Envelope_B.mov,T,Left
2,A3,A D,Envelope,D,A,1,215,Luis,1_Exemplar D.mov,1_Exemplar A.mov,215_1_A3_Envelope_D.mov,T,Left
2,A4,TE,Order,TE,BL,1,200,Juanita,Annie_4A TE.mov,Annie_4A BL.mov,200_1_A4_Order_TE.mov,T,Left
2,A5,A B,Envelope,A,B,2,159,Harry,3_Exemplar A.mov,3_Exemplar B.mov,159_2_A5_Envelope_A.mov,T,Left
2,A7,TH,Order,TH,BL,1,39,Franklin,Rachel_4J TH.mov,Rachel_4J BL.mov,39_1_A7_Order_TH.mov,T,Left
2,A8,D E,Envelope,E,D,2,230,Orlando,5_Exemplar E.mov,5_Exemplar D.mov,230_2_A8_Envelope_E.mov,T,Left
2,B1,C E,Envelope,E,C,2,217,Lea,8_Exemplar E.mov,8_Exemplar C.mov,217_2_B1_Envelope_E.mov,T,Right
2,B2,TH,Order,BL,TE,2,145,Ivonne,Rachel_4D BL.mov,Rachel_4D TE.mov,145_2_B2_Order_BL.mov,D,Right
2,B3,A B,Envelope,B,A,1,27,Maria Eugenia,5_Exemplar B.mov,5_Exemplar A.mov,27_1_B3_Envelope_B.mov,D,Right
2,B5,TE,Order,TH,BL,2,184,Cinthya,David_4C TH.mov,David_4C BL.mov,184_2_B5_Order_TH.mov,D,Right
2,B6,B C,Envelope,C,B,1,41,Omar,1_Exemplar C.mov,1_Exemplar B.mov,41_1_B6_Envelope_C.mov,D,Right
2,B7,TM,Order,TM,BL,1,36,January,Annie_4B TM2.mov,Annie_4B BL.mov,36_1_B7_Order_TM.mov,D,Right
2,B8,D E,Envelope,D,E,1,49,Carlos,3_Exemplar D.mov,3_Exemplar E.mov,49_1_B8_Envelope_D.mov,D,Right
3,A1,TM,Order,BL,TM,1,200,Juanita,David_4B BL.mov,David_4B TM2.mov,200_1_A1_Order_BL.mov,T,Left
3,A2,B C,Envelope,B,C,1,215,Luis,8_Exemplar B.mov,8_Exemplar C.mov,215_1_A2_Envelope_B.mov,T,Left
3,A3,A D,Envelope,D,A,2,159,Harry,1_Exemplar D.mov,1_Exemplar A.mov,159_2_A3_Envelope_D.mov,T,Left
3,A4,TE,Order,TE,BL,2,159,Harry,Annie_4A TE.mov,Annie_4A BL.mov,159_2_A4_Order_TE.mov,T,Left
3,A5,A B,Envelope,A,B,1,1,Mabel,3_Exemplar A.mov,3_Exemplar B.mov,1_1_A5_Envelope_A.mov,T,Left
3,A7,TH,Order,TH,BL,2,230,Orlando,Rachel_4J TH.mov,Rachel_4J BL.mov,230_2_A7_Order_TH.mov,T,Left
3,A8,D E,Envelope,E,D,1,39,Franklin,5_Exemplar E.mov,5_Exemplar D.mov,39_1_A8_Envelope_E.mov,T,Left
3,B1,C E,Envelope,E,C,1,49,Carlos,8_Exemplar E.mov,8_Exemplar C.mov,49_1_B1_Envelope_E.mov,T,Right
3,B2,TH,Order,BL,TE,1,27,Maria Eugenia,Rachel_4D BL.mov,Rachel_4D TE.mov,27_1_B2_Order_BL.mov,D,Right
3,B3,A B,Envelope,B,A,2,184,Cinthya,5_Exemplar B.mov,5_Exemplar A.mov,184_2_B3_Envelope_B.mov,D,Right
3,B5,TE,Order,TH,BL,1,36,January,David_4C TH.mov,David_4C BL.mov,36_1_B5_Order_TH.mov,D,Right
3,B6,B C,Envelope,C,B,2,145,Ivonne,1_Exemplar C.mov,1_Exemplar B.mov,145_2_B6_Envelope_C.mov,D,Right
3,B7,TM,Order,TM,BL,2,145,Ivonne,Annie_4B TM2.mov,Annie_4B BL.mov,145_2_B7_Order_TM.mov,D,Right
3,B8,D E,Envelope,D,E,2,217,Lea,3_Exemplar D.mov,3_Exemplar E.mov,217_2_B8_Envelope_D.mov,D,Right
4,A1,TM,Order,BL,TM,2,159,Harry,David_4B BL.mov,David_4B TM2.mov,159_2_A1_Order_BL.mov,T,Left
4,A2,B C,Envelope,B,C,2,230,Orlando,8_Exemplar B.mov,8_Exemplar C.mov,230_2_A2_Envelope_B.mov,T,Left
4,A3,A D,Envelope,D,A,1,1,Mabel,1_Exemplar D.mov,1_Exemplar A.mov,1_1_A3_Envelope_D.mov,T,Left
4,A4,TE,Order,TE,BL,1,39,Franklin,Annie_4A TE.mov,Annie_4A BL.mov,39_1_A4_Order_TE.mov,T,Left
4,A5,A B,Envelope,A,B,2,230,Orlando,3_Exemplar A.mov,3_Exemplar B.mov,230_2_A5_Envelope_A.mov,T,Left
4,A7,TH,Order,TH,BL,1,200,Juanita,Rachel_4J TH.mov,Rachel_4J BL.mov,200_1_A7_Order_TH.mov,T,Left
4,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,159_2_A8_Envelope_E.mov,T,Left
4,B1,C E,Envelope,E,C,2,184,Cinthya,8_Exemplar E.mov,8_Exemplar C.mov,184_2_B1_Envelope_E.mov,T,Right
4,B2,TH,Order,BL,TE,2,217,Lea,Rachel_4D BL.mov,Rachel_4D TE.mov,217_2_B2_Order_BL.mov,D,Right
4,B3,A B,Envelope,B,A,1,49,Carlos,5_Exemplar B.mov,5_Exemplar A.mov,49_1_B3_Envelope_B.mov,D,Right
4,B5,TE,Order,TH,BL,2,217,Lea,David_4C TH.mov,David_4C BL.mov,217_2_B5_Order_TH.mov,D,Right
4,B6,B C,Envelope,C,B,1,36,January,1_Exemplar C.mov,1_Exemplar B.mov,36_1_B6_Envelope_C.mov,D,Right
4,B7,TM,Order,TM,BL,1,41,Omar,Annie_4B TM2.mov,Annie_4B BL.mov,41_1_B7_Order_TM.mov,D,Right
4,B8,D E,Envelope,D,E,1,27,Maria Eugenia,3_Exemplar D.mov,3_Exemplar E.mov,27_1_B8_Envelope_D.mov,D,Right
5,A1,TM,Order,BL,TM,1,1,Mabel,David_4B BL.mov,David_4B TM2.mov,1_1_A1_Order_BL.mov,T,Left
5,A2,B C,Envelope,B,C,1,200,Juanita,8_Exemplar B.mov,8_Exemplar C.mov,200_1_A2_Envelope_B.mov,T,Left
5,A3,A D,Envelope,D,A,2,230,Orlando,1_Exemplar D.mov,1_Exemplar A.mov,230_2_A3_Envelope_D.mov,T,Left
5,A4,TE,Order,TE,BL,2,159,Harry,Annie_4A TE.mov,Annie_4A BL.mov,159_2_A4_Order_TE.mov,T,Left
5,A5,A B,Envelope,A,B,1,39,Franklin,3_Exemplar A.mov,3_Exemplar B.mov,39_1_A5_Envelope_A.mov,T,Left
5,A7,TH,Order,TH,BL,2,159,Harry,Rachel_4J TH.mov,Rachel_4J BL.mov,159_2_A7_Order_TH.mov,T,Left
5,A8,D E,Envelope,E,D,1,215,Luis,5_Exemplar E.mov,5_Exemplar D.mov,215_1_A8_Envelope_E.mov,T,Left
5,B1,C E,Envelope,E,C,1,36,January,8_Exemplar E.mov,8_Exemplar C.mov,36_1_B1_Envelope_E.mov,T,Right
5,B2,TH,Order,BL,TE,1,41,Omar,Rachel_4D BL.mov,Rachel_4D TE.mov,41_1_B2_Order_BL.mov,D,Right
5,B3,A B,Envelope,B,A,2,184,Cinthya,5_Exemplar B.mov,5_Exemplar A.mov,184_2_B3_Envelope_B.mov,D,Right
5,B5,TE,Order,TH,BL,1,27,Maria Eugenia,David_4C TH.mov,David_4C BL.mov,27_1_B5_Order_TH.mov,D,Right
5,B6,B C,Envelope,C,B,2,217,Lea,1_Exemplar C.mov,1_Exemplar B.mov,217_2_B6_Envelope_C.mov,D,Right
5,B7,TM,Order,TM,BL,2,145,Ivonne,Annie_4B TM2.mov,Annie_4B BL.mov,145_2_B7_Order_TM.mov,D,Right
5,B8,D E,Envelope,D,E,2,184,Cinthya,3_Exemplar D.mov,3_Exemplar E.mov,184_2_B8_Envelope_D.mov,D,Right
6,A1,TM,Order,BL,TM,2,159,Harry,David_4B BL.mov,David_4B TM2.mov,159_2_A1_Order_BL.mov,T,Left
6,A2,B C,Envelope,B,C,2,159,Harry,8_Exemplar B.mov,8_Exemplar C.mov,159_2_A2_Envelope_B.mov,T,Left
6,A3,A D,Envelope,D,A,1,200,Juanita,1_Exemplar D.mov,1_Exemplar A.mov,200_1_A3_Envelope_D.mov,T,Left
6,A4,TE,Order,TE,BL,1,215,Luis,Annie_4A TE.mov,Annie_4A BL.mov,215_1_A4_Order_TE.mov,T,Left
6,A5,A B,Envelope,A,B,2,230,Orlando,3_Exemplar A.mov,3_Exemplar B.mov,230_2_A5_Envelope_A.mov,T,Left
6,A7,TH,Order,TH,BL,1,1,Mabel,Rachel_4J TH.mov,Rachel_4J BL.mov,1_1_A7_Order_TH.mov,T,Left
6,A8,D E,Envelope,E,D,2,230,Orlando,5_Exemplar E.mov,5_Exemplar D.mov,230_2_A8_Envelope_E.mov,T,Left
6,B1,C E,Envelope,E,C,2,145,Ivonne,8_Exemplar E.mov,8_Exemplar C.mov,145_2_B1_Envelope_E.mov,T,Right
6,B2,TH,Order,BL,TE,2,217,Lea,Rachel_4D BL.mov,Rachel_4D TE.mov,217_2_B2_Order_BL.mov,D,Right
6,B3,A B,Envelope,B,A,1,41,Omar,5_Exemplar B.mov,5_Exemplar A.mov,41_1_B3_Envelope_B.mov,D,Right
6,B5,TE,Order,TH,BL,2,145,Ivonne,David_4C TH.mov,David_4C BL.mov,145_2_B5_Order_TH.mov,D,Right
6,B6,B C,Envelope,C,B,1,27,Maria Eugenia,1_Exemplar C.mov,1_Exemplar B.mov,27_1_B6_Envelope_C.mov,D,Right
6,B7,TM,Order,TM,BL,1,49,Carlos,Annie_4B TM2.mov,Annie_4B BL.mov,49_1_B7_Order_TM.mov,D,Right
6,B8,D E,Envelope,D,E,1,36,January,3_Exemplar D.mov,3_Exemplar E.mov,36_1_B8_Envelope_D.mov,D,Right
7,A1,TM,Order,BL,TM,1,215,Luis,David_4B BL.mov,David_4B TM2.mov,215_1_A1_Order_BL.mov,T,Left
7,A2,B C,Envelope,B,C,1,39,Franklin,8_Exemplar B.mov,8_Exemplar C.mov,39_1_A2_Envelope_B.mov,T,Left
7,A3,A D,Envelope,D,A,2,159,Harry,1_Exemplar D.mov,1_Exemplar A.mov,159_2_A3_Envelope_D.mov,T,Left
7,A4,TE,Order,TE,BL,2,230,Orlando,Annie_4A TE.mov,Annie_4A BL.mov,230_2_A4_Order_TE.mov,T,Left
7,A5,A B,Envelope,A,B,1,200,Juanita,3_Exemplar A.mov,3_Exemplar B.mov,200_1_A5_Envelope_A.mov,T,Left
7,A7,TH,Order,TH,BL,2,230,Orlando,Rachel_4J TH.mov,Rachel_4J BL.mov,230_2_A7_Order_TH.mov,T,Left
7,A8,D E,Envelope,E,D,1,1,Mabel,5_Exemplar E.mov,5_Exemplar D.mov,1_1_A8_Envelope_E.mov,T,Left
7,B1,C E,Envelope,E,C,1,27,Maria Eugenia,8_Exemplar E.mov,8_Exemplar C.mov,27_1_B1_Envelope_E.mov,T,Right
7,B2,TH,Order,BL,TE,1,49,Carlos,Rachel_4D BL.mov,Rachel_4D TE.mov,49_1_B2_Order_BL.mov,D,Right
7,B3,A B,Envelope,B,A,2,145,Ivonne,5_Exemplar B.mov,5_Exemplar A.mov,145_2_B3_Envelope_B.mov,D,Right
7,B5,TE,Order,TH,BL,1,41,Omar,David_4C TH.mov,David_4C BL.mov,41_1_B5_Order_TH.mov,D,Right
7,B6,B C,Envelope,C,B,2,217,Lea,1_Exemplar C.mov,1_Exemplar B.mov,217_2_B6_Envelope_C.mov,D,Right
7,B7,TM,Order,TM,BL,2,184,Cinthya,Annie_4B TM2.mov,Annie_4B BL.mov,184_2_B7_Order_TM.mov,D,Right
7,B8,D E,Envelope,D,E,2,145,Ivonne,3_Exemplar D.mov,3_Exemplar E.mov,145_2_B8_Envelope_D.mov,D,Right
8,A1,TM,Order,BL,TM,2,230,Orlando,David_4B BL.mov,David_4B TM2.mov,230_2_A1_Order_BL.mov,T,Left
8,A2,B C,Envelope,B,C,2,230,Orlando,8_Exemplar B.mov,8_Exemplar C.mov,230_2_A2_Envelope_B.mov,T,Left
8,A3,A D,Envelope,D,A,1,39,Franklin,1_Exemplar D.mov,1_Exemplar A.mov,39_1_A3_Envelope_D.mov,T,Left
8,A4,TE,Order,TE,BL,1,1,Mabel,Annie_4A TE.mov,Annie_4A BL.mov,1_1_A4_Order_TE.mov,T,Left
8,A5,A B,Envelope,A,B,2,159,Harry,3_Exemplar A.mov,3_Exemplar B.mov,159_2_A5_Envelope_A.mov,T,Left
8,A7,TH,Order,TH,BL,1,215,Luis,Rachel_4J TH.mov,Rachel_4J BL.mov,215_1_A7_Order_TH.mov,T,Left
8,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,159_2_A8_Envelope_E.mov,T,Left
8,B1,C E,Envelope,E,C,2,184,Cinthya,8_Exemplar E.mov,8_Exemplar C.mov,184_2_B1_Envelope_E.mov,T,Right
8,B2,TH,Order,BL,TE,2,184,Cinthya,Rachel_4D BL.mov,Rachel_4D TE.mov,184_2_B2_Order_BL.mov,D,Right
8,B3,A B,Envelope,B,A,1,36,January,5_Exemplar B.mov,5_Exemplar A.mov,36_1_B3_Envelope_B.mov,D,Right
8,B5,TE,Order,TH,BL,2,145,Ivonne,David_4C TH.mov,David_4C BL.mov,145_2_B5_Order_TH.mov,D,Right
8,B6,B C,Envelope,C,B,1,49,Carlos,1_Exemplar C.mov,1_Exemplar B.mov,49_1_B6_Envelope_C.mov,D,Right
8,B7,TM,Order,TM,BL,1,27,Maria Eugenia,Annie_4B TM2.mov,Annie_4B BL.mov,27_1_B7_Order_TM.mov,D,Right
8,B8,D E,Envelope,D,E,1,41,Omar,3_Exemplar D.mov,3_Exemplar E.mov,41_1_B8_Envelope_D.mov,D,Right
