amyFileName;List;itemID;eventType;Condition;Manner;Path;verbName;verbMeaning;ambigS;ambigV;mbiasV;mbiasAns;pbias;pbiasAns;trainS1;trainV1;trainS2;trainV2;trainS3;trainV3;mTest;mTestAns;pTest;pTestAns;movieLenght
MannerOfMotionCondition_DOsentences;2;3;Motion;Manner;flapwalk;up;zarking;flapwalk;The monster is zarking the cat.;flapwalk.up.cat.mov;flapwalk.around.horse.mov;1;crawl.up.swan.mov;0;The monster is zarking the penguin. ;flapwalk.front.penguin.mov;The monster is zarking the seesaws. ;flapwalk.between.seesaws.mov;The monster is zarking the waterfall.;flapwalk.through.waterfall.mov;tiptoe.up.well.mov;0;flapwalk.into.igloo.mov;1;7,1
MannerOfMotionCondition_DOsentences;2;4;Motion;Manner;hop;around;molking;hop;The monster is molking the penguin.;hop.around.penguin.mov;crabwalk.around.firehouse.mov;0;hop.up.deer.mov;1;The monster is molking the book. ;hop.over.book.mov;The monster is molking the tree. ;hop.through.tree.mov;The monster is molking the snowmen.;hop.between.snowmen.mov;hop.down.gazeebo.mov;1;walk.around.goat.mov;0;7,1
MannerOfMotionCondition_DOsentences;2;5;Motion;Manner;roll;between;torging;roll;The monster is torging the trees. ;roll.between.trees.mov;roll.through.tent.mov;1;walk.between.buildings.mov;0;The monster is torging the eagle. ;roll.down.eagle.mov;The monster is torging the snowman. ;roll.up.snowman.mov;The monster is torging the drum.;roll.around.drum.mov;crabwalk.between.lights.mov;0;roll.over.shrub.mov;1;7,1
MannerOfMotionCondition_DOsentences;2;6;Motion;Manner;stoopwalk;through;pimming;stoopwalk;The monster is pimming the flowers.;stoopwalk.through.flowers.mov;tiptoe.through.lighthouse.mov;0;stoopwalk.between.swings.mov;1;The monster is pimming the barn. ;stoopwalk.into.barn.mov;The monster is pimming the fountain. ;stoopwalk.around.fountain.mov;The monster is pimming the monkey.;stoopwalk.up.monkey.mov;stoopwalk.front.fishtank.mov;1;crawl.through.pyramid.mov;0;7,1
MannerOfMotionCondition_DOsentences;2;7;Motion;Manner;tiptoe;over;birking;tiptoe;The monster is birking the cone.;tiptoe.over.cone.mov;tiptoe.front.snowplow.mov;1;stoopwalk.over.haystack.mov;0;The monster is birking the spaceship. ;tiptoe.around.spaceship.mov;The monster is birking the spaceship. ;tiptoe.into.spaceship.mov;The monster is birking the dog.;tiptoe.down.dog.mov;flapwalk.over.plane.mov;0;tiptoe.between.pigs.mov;1;7,1
MannerOfMotionCondition_DOsentences;2;8;Motion;Manner;walk;front;dacking;walk;The monster is dacking the elephant. ;walk.front.elephant.mov;roll.front.giraffe.mov;0;walk.over.sandpile.mov;1;The monster is dacking the owl. ;walk.up.owl.mov;The monster is dacking the cow. ;walk.down.cow.mov;The monster is dacking the castle.;walk.into.castle.mov;walk.through.hut.mov;1;hop.front.bunny.mov;0;7,1
MannerOfMotionCondition_Instrumental;3;1;Motion;Manner;drive;into;zarking;drive;The man is zarking into the garage.;drive.into.house.mov;drive.over.cone.mov;1;fly.into.spaceship.mov;0;The man is zarking under the train.;drive.under.train.mov;The man is zarking up to the cat.;drive.up.cat.mov;The man is zarking behind the windmill.;drive.behind.windmill.mov;bike.into.truck.mov;0;drive.around.firehouse.mov;1;7
MannerOfMotionCondition_Instrumental;3;2;Motion;Manner;carpet;down;glipping;carpet;The boy is glipping down to the lamp.;carpet.down.lamp.mov;skate.down.seesaw.mov;0;carpet.btw.throne.mov;1;The boy is glipping in front of the clock.;carpet.front.clock.mov;The boy is glipping under the table.;carpet.under.table.mov;The boy is glipping around the drum.;carpet.around.drum.mov;carpet.into.tower.mov;1;ski.down.owl.mov;0;7
MannerOfMotionCondition_Instrumental;3;3;Motion;Manner;sail ;up;dacking;sail ;The boy is dacking up to the swan.;sail.up.swan.mov;sail.down.seal.mov;1;carpet.up.monkey.mov;0;The boy is dacking in front of the penguin.;sail.front.penguin.mov;The boy is dacking around the seagull.;sail.around.seagull.mov;The boy is dacking through the waterfall.;sail.through.waterfall.mov;fly.up.bus.mov;0;sail.over.float.mov;1;7
MannerOfMotionCondition_Instrumental;3;4;Motion;Manner;sled;around;birking;sled;The man is birking around the penguin.;sled.around.penguin.mov;bike.around.birdhouse.mov;0;sled.behind.polarbear.mov;1;The man is birking into the cabin.;sled.into.cabin.mov;The man is birking up to the gingerbread house.;sled.up.ginger.mov;The man is birking down to the bear.;sled.down.bear.mov;sled.under.butterflies.mov;1;skate.around.horse.mov;0;7
MannerOfMotionCondition_Instrumental;3;5;Motion;Manner;ski;between;pimming;ski;The man is pimming between the trees.;ski.btw.trees.mov;ski.into.igloo.mov;1;camel.between.trees.mov;0;The man is pimming around the deer.;ski.around.deer.mov;The man is pimming through the gate. ;ski.through.gate.mov;The man is pimming under the rainbow.;ski.under.rainbow.mov;sail.between.mountains.mov;0;ski.up.snowman.mov;1;7
MannerOfMotionCondition_Instrumental;3;6;Motion;Manner;fly;through;torging;fly;The man is torging through the clouds.;fly.through.clouds.mov;drive.through.tunnel.mov;0;fly.under.birds.mov;1;The man is torging down to the cow.;fly.down.cow.mov;The man is torging between the skyscrapers.;fly.btw.skyscrapers.mov;The man is torging over the rollercoaster.;fly.over.rollercoaster.mov;fly.behind.kite.mov;1;sled.through.tree.mov;0;7
MannerOfMotionCondition_Instrumental;3;7;Motion;Manner;balloon;over;molking;balloon;The girl is molking over the eagle. ;balloon.over.eagle.mov;balloon.up.train.mov;1;ski.over.bush.mov;0;The girl is molking between the hills.;balloon.between.hills.mov;The girl is molking through the flowers.;balloon.through.flowers.mov;The girl is molking in front of the sunflowers.;balloon.front.sunflowers.mov;carpet.over.tiger.mov;0;balloon.down.dog.mov;1;7
MannerOfMotionCondition_Instrumental;3;8;Motion;Manner;camel;front;gossing;camel;The man is gossing in front of the pyramid.;camel.front.pyramid.mov;sled.front.bunny.mov;0;camel.around.goat.mov;1;The man is gossing up to the palmtree.;camel.up.palmtree.mov;The man is gossing behind the cactus.;camel.behind.cactus.mov;The man is gossing into the castle.;camel.into.castle.mov;camel.through.oasis.mov;1;drive.front.horse.mov;0;7
PathCondition;4;1;Motion;Path;crabwalk;into;krading;into;The monster is krading into the garage.;crabwalk.into.garage.mov;crabwalk.down.birdhouse.mov;1;hop.into.cabin.mov;0;The monster is krading into the barn. ;stoopwalk.into.barn.mov;The monster is krading into the spaceship. ;tiptoe.into.spaceship.mov;The monster is krading into the castle.;walk.into.castle.mov;roll.into.tower.mov;1;crabwalk.up.cat.mov;0;7,1
PathCondition;4;2;Motion;Path;crawl;down;glipping;down;The monster is glipping down to the clown.;crawl.down.clown.mov;flapwalk.down.frog.mov;0;crawl.into.cave.mov;1;The monster is glipping down to the eagle. ;roll.down.eagle.mov;The monster is glipping down to the cow. ;walk.down.cow.mov;The monster is glipping down to the dog.;tiptoe.down.dog.mov;crawl.around.birdhouse.mov;0;stoopwalk.down.lamp.mov;1;7,1
PathCondition;4;3;Motion;Path;flapwalk;up;zarking;up;The monster is zarking up to the cat.;flapwalk.up.cat.mov;flapwalk.around.horse.mov;1;crawl.up.swan.mov;0;The monster is zarking up to the owl. ;walk.up.owl.mov;The monster is zarking up to the snowman. ;roll.up.snowman.mov;The monster is zarking up to the monkey.;stoopwalk.up.monkey.mov;tiptoe.up.well.mov;1;flapwalk.into.igloo.mov;0;7,1
PathCondition;4;4;Motion;Path;hop;around;molking;around;The monster is molking around the penguin.;hop.around.penguin.mov;crabwalk.around.firehouse.mov;0;hop.up.deer.mov;1;The monster is molking around the spaceship. ;tiptoe.around.spaceship.mov;The monster is molking around the fountain. ;stoopwalk.around.fountain.mov;The monster is molking around the drum.;roll.around.drum.mov;hop.down.gazeebo.mov;0;walk.around.goat.mov;1;7,1
PathCondition;4;5;Motion;Path;roll;between;torging;between;The monster is torging between the trees. ;roll.between.trees.mov;roll.through.tent.mov;1;walk.between.buildings.mov;0;The monster is torging between the mailboxes. ;crawl.between.mailboxes.mov;The monster is torging between the seesaws. ;flapwalk.between.seesaws.mov;The monster is torging between the snowmen.;hop.between.snowmen.mov;crabwalk.between.lights.mov;1;roll.over.shrub.mov;0;7,1
PathCondition;4;6;Motion;Path;stoopwalk;through;pimming;through;The monster is pimming through the flowers.;stoopwalk.through.flowers.mov;tiptoe.through.lighthouse.mov;0;stoopwalk.between.swings.mov;1;The monster is pimming through the tunnel. ;crabwalk.through.tunnel.mov;The monster is pimming through the tree. ;hop.through.tree.mov;The monster is pimming through the waterfall.;flapwalk.through.waterfall.mov;stoopwalk.front.fishtank.mov;0;crawl.through.pyramid.mov;1;7,1
PathCondition;4;7;Motion;Path;tiptoe;over;birking;over;The monster is birking over the cone.;tiptoe.over.cone.mov;tiptoe.front.snowplow.mov;1;stoopwalk.over.haystack.mov;0;The monster is birking over the book. ;hop.over.book.mov;The monster is birking over the tires. ;crabwalk.over.tires.mov;The monster is birking over the mountain.;crawl.over.mountain.mov;flapwalk.over.plane.mov;1;tiptoe.between.pigs.mov;0;7,1
PathCondition;4;8;Motion;Path;walk;front;dacking;front;The monster is dacking in front of the elephant. ;walk.front.elephant.mov;roll.front.giraffe.mov;0;walk.over.sandpile.mov;1;The monster is dacking in front of the penguin. ;flapwalk.front.penguin.mov;The monster is dacking in front of the bench. ;crawl.front.bench.mov;The monster is dacking in front of the bell.;crabwalk.front.bell.mov;walk.through.hut.mov;0;hop.front.bunny.mov;1;7,1
PathCondition_DOsentences;5;1;Motion;Path;crabwalk;into;krading;into;The monster is krading the garage.;crabwalk.into.garage.mov;crabwalk.down.birdhouse.mov;1;hop.into.cabin.mov;0;The monster is krading the barn. ;stoopwalk.into.barn.mov;The monster is krading the spaceship. ;tiptoe.into.spaceship.mov;The monster is krading the castle.;walk.into.castle.mov;roll.into.tower.mov;1;crabwalk.up.cat.mov;0;7,1
PathCondition_DOsentences;5;2;Motion;Path;crawl;down;glipping;down;The monster is glipping the clown.;crawl.down.clown.mov;flapwalk.down.frog.mov;0;crawl.into.cave.mov;1;The monster is glipping the eagle. ;roll.down.eagle.mov;The monster is glipping the cow. ;walk.down.cow.mov;The monster is glipping the dog.;tiptoe.down.dog.mov;crawl.around.birdhouse.mov;0;stoopwalk.down.lamp.mov;1;7,1
PathCondition_DOsentences;5;3;Motion;Path;flapwalk;up;zarking;up;The monster is zarking the cat.;flapwalk.up.cat.mov;flapwalk.around.horse.mov;1;crawl.up.swan.mov;0;The monster is zarking the owl. ;walk.up.owl.mov;The monster is zarking the snowman. ;roll.up.snowman.mov;The monster is zarking the monkey.;stoopwalk.up.monkey.mov;tiptoe.up.well.mov;1;flapwalk.into.igloo.mov;0;7,1
PathCondition_DOsentences;5;4;Motion;Path;hop;around;molking;around;The monster is molking the penguin.;hop.around.penguin.mov;crabwalk.around.firehouse.mov;0;hop.up.deer.mov;1;The monster is molking the spaceship. ;tiptoe.around.spaceship.mov;The monster is molking the fountain. ;stoopwalk.around.fountain.mov;The monster is molking the drum.;roll.around.drum.mov;hop.down.gazeebo.mov;0;walk.around.goat.mov;1;7,1
PathCondition_DOsentences;5;5;Motion;Path;roll;between;torging;between;The monster is torging the trees. ;roll.between.trees.mov;roll.through.tent.mov;1;walk.between.buildings.mov;0;The monster is torging the mailboxes. ;crawl.between.mailboxes.mov;The monster is torging the seesaws. ;flapwalk.between.seesaws.mov;The monster is torging the snowmen.;hop.between.snowmen.mov;crabwalk.between.lights.mov;1;roll.over.shrub.mov;0;7,1
PathCondition_DOsentences;5;6;Motion;Path;stoopwalk;through;pimming;through;The monster is pimming the flowers.;stoopwalk.through.flowers.mov;tiptoe.through.lighthouse.mov;0;stoopwalk.between.swings.mov;1;The monster is pimming the tunnel. ;crabwalk.through.tunnel.mov;The monster is pimming the tree. ;hop.through.tree.mov;The monster is pimming the waterfall.;flapwalk.through.waterfall.mov;stoopwalk.front.fishtank.mov;0;crawl.through.pyramid.mov;1;7,1
PathCondition_DOsentences;5;7;Motion;Path;tiptoe;over;birking;over;The monster is birking the cone.;tiptoe.over.cone.mov;tiptoe.front.snowplow.mov;1;stoopwalk.over.haystack.mov;0;The monster is birking the book. ;hop.over.book.mov;The monster is birking the tires. ;crabwalk.over.tires.mov;The monster is birking the mountain.;crawl.over.mountain.mov;flapwalk.over.plane.mov;1;tiptoe.between.pigs.mov;0;7,1
PathCondition_DOsentences;5;8;Motion;Path;walk;front;dacking;front;The monster is dacking the elephant. ;walk.front.elephant.mov;roll.front.giraffe.mov;0;walk.over.sandpile.mov;1;The monster is dacking the penguin. ;flapwalk.front.penguin.mov;The monster is dacking the bench. ;crawl.front.bench.mov;The monster is dacking the bell.;crabwalk.front.bell.mov;walk.through.hut.mov;0;hop.front.bunny.mov;1;7,1
PathCondition_Instrumental;6;1;Motion;Path;drive;into;zarking;into;The man is zarking into the garage.;drive.into.house.mov;drive.over.cone.mov;1;fly.into.spaceship.mov;0;The girl is zarking into the barn.;skate.into.barn.mov;The boy is zarking into the cave.;sail.into.cave.mov;The girl is zarking into the tree.;balloon.into.tree.mov;bike.into.truck.mov;1;drive.around.firehouse.mov;0;7
PathCondition_Instrumental;6;2;Motion;Path;carpet;down;glipping;down;The boy is glipping down to the lamp.;carpet.down.lamp.mov;skate.down.seesaw.mov;0;carpet.btw.throne.mov;1;The man is glipping down to the clown.;bike.down.clown.mov;The man is glipping down to the bear.;sled.down.bear.mov;The man is glipping down to the cow.;fly.down.cow.mov;carpet.into.tower.mov;0;ski.down.owl.mov;1;7
PathCondition_Instrumental;6;3;Motion;Path;sail ;up;dacking;up;The boy is dacking up to the swan.;sail.up.swan.mov;sail.down.seal.mov;1;carpet.up.monkey.mov;0;The man is dacking up to the palm tree.;camel.up.palmtree.mov;The girl is dacking up to the dog.;skate.up.dog.mov;The man is dacking up to the gingerbread house.;sled.up.ginger.mov;fly.up.bus.mov;1;sail.over.float.mov;0;7
PathCondition_Instrumental;6;4;Motion;Path;sled;around;birking;around;The man is birking around the penguin.;sled.around.penguin.mov;bike.around.birdhouse.mov;0;sled.behind.polarbear.mov;1;The man is birking around the deer.;ski.around.deer.mov;The man is birking around the fountain.;fly.around.fountain.mov;The girl is birking around the city.;balloon.around.city.mov;sled.under.butterflies.mov;0;skate.around.horse.mov;1;7
PathCondition_Instrumental;6;5;Motion;Path;ski;between;pimming;between;The man is pimming between the trees.;ski.btw.trees.mov;ski.into.igloo.mov;1;camel.between.trees.mov;0;The man is pimming between the snowmen.;sled.btw.snowmen.mov;The man is pimming between the mailboxes.;bike.between.mailboxes.mov;The man is pimming between the lampposts.;drive.between.lights.mov;sail.between.mountains.mov;1;ski.up.snowman.mov;0;7
PathCondition_Instrumental;6;6;Motion;Path;fly;through;torging;through;The man is torging through the clouds.;fly.through.clouds.mov;drive.through.tunnel.mov;0;fly.under.birds.mov;1;The boy is torging through the garden.;carpet.through.garden.mov;The boy is torging through the waterfall.;sail.through.waterfall.mov;The man is torging through the gate. ;ski.through.gate.mov;fly.behind.kite.mov;0;sled.through.tree.mov;1;7
PathCondition_Instrumental;6;7;Motion;Path;balloon;over;molking;over;The girl is molking over the eagle. ;balloon.over.eagle.mov;balloon.up.train.mov;1;ski.over.bush.mov;0;The girl is molking over the book.;skate.over.book.mov;The man is molking over the rollercoaster.;fly.over.rollercoaster.mov;The man is molking over the sand dune.;camel.over.sanddune.mov;carpet.over.tiger.mov;1;balloon.down.dog.mov;0;7
PathCondition_Instrumental;6;8;Motion;Path;camel;front;gossing;front;The man is gossing in front of the pyramid.;camel.front.pyramid.mov;sled.front.bunny.mov;0;camel.around.goat.mov;1;The man is gossing in front of the deer.;ski.front.deer.mov;The girl is gossing in front of the sunflowers.;balloon.front.sunflowers.mov;The boy is gossing in front of the penguin.;sail.front.penguin.mov;camel.through.oasis.mov;0;drive.front.horse.mov;1;7
EffectCondition;7;1;Causal;Effect;bat;break;blicking;break;The monster is blicking the record.;bat.break.record.mov;bat.flatten.cupcake.mov;1;comb.break.cookies.mov;0;The monster is blicking the frame. ;knife.break.frame.mov;The monster is blicking the piggybank. ;poker.break.piggybank.mov;The monster is blicking the bone.;hammer.break.bone.mov;bat.open.babybottle.mov;0;pliers.break.eyeglasses.mov;1;2,5
EffectCondition;7;2;Causal;Effect;comb;rip;gossing;rip;The monster is gossing the armchair.;comb.rip.armchair.mov;bat.rip.kite.mov;0;comb.open.book.mov;1;The monster is gossing the pants. ;poker.rip.pants.mov;The monster is gossing the newspaper. ;knife.rip.newspaper.mov;The monster is gossing the tablecloth.;pliers.rip.tablecloth.mov;hammer.rip.shirt.mov;1;comb.flatten.burger.mov;0;2,5
EffectCondition;7;3;Causal;Effect;crowbar;open;zicking;open;The monster is zicking the grill.;crowbar.open.grill.mov;crowbar.rip.pillow.mov;1;trowel.open.door.mov;0;The monster is zicking the envelope. ;hammer.open.envelope.mov;The monster is zicking the jar. ;pliers.open.jar.mov;The monster is zicking the box.;knife.open.box.mov;crowbar.break.shoe.mov;0;poker.open.window.mov;1;2,5
EffectCondition;7;4;Causal;Effect;hammer;crush;nibbing;crush;The monster is nibbing the strawberries.;hammer.crush.strawberries.mov;pliers.crush.candycanes.mov;0;hammer.empty.brushcontainer.mov;1;The monster is nibbing the soap. ;crowbar.crush.soap.mov;The monster is nibbing the bottle. ;trowel.crush.bottle.mov;The monster is nibbing the nuts.;bat.crush.nuts.mov;comb.crush.juicebox.mov;1;hammer.cut.watermelon.mov;0;2,5
EffectCondition;7;5;Causal;Effect;knife;cut;gorping;cut;The monster is gorping the bread.;knife.cut.bread.mov;knife.bend.fork.mov;1;poker.cut.curtain.mov;0;The monster is gorping the bagel. ;bat.cut.bagel.mov;The monster is gorping the pie. ;comb.cut.pie.mov;The monster is gorping the cucumber.;crowbar.cut.cucumber.mov;knife.crush.apple.mov;0;trowel.cut.cheese.mov;1;2,5
EffectCondition;7;6;Causal;Effect;pliers;bend;klebbing;bend;The monster is klebbing the candle.;pliers.bend.candle.mov;hammer.bend.sunflower.mov;0;pliers.cut.pizza.mov;1;The monster is klebbing the watering can. ;trowel.bend.wateringcan.mov;The monster is klebbing the spatula. ;crowbar.bend.turner.mov;The monster is klebbing the coat hanger.;comb.bend.coathanger.mov;bat.bend.flagpole.mov;1;pliers.empty.martiniglass.mov;0;2,5
EffectCondition;7;7;Causal;Effect;poker;empty;wugging;empty;The monster is wugging the trash.;poker.empty.trash.mov;poker.crush.car.mov;1;knife.empty.goblet.mov;0;The monster is wugging the bowl. ;comb.empty.bowl.mov;The monster is wugging the grocery bag. ;bat.empty.grocerybag.mov;The monster is wugging the vase.;trowel.empty.vase.mov;poker.bend.lamp.mov;0;crowbar.empty.detergentcontainer.mov;1;2,5
EffectCondition;7;8;Causal;Effect;trowel;flatten;rolting;flatten;The monster is rolting the sand.;trowel.flatten.sand.mov;crowbar.flatten.donut.mov;0;trowel.break.flowerpot.mov;1;The monster is rolting the pumpkin. ;pliers.flatten.pumpkin.mov;The monster is rolting the sandwich. ;hammer.flatten.sandwich.mov;The monster is rolting the cake.;poker.flatten.cake.mov;knife.flatten.sponge.mov;1;trowel.rip.sack.mov;0;2,5
MeansCondition;7;1;Causal;Means;bat;break;blicking;bat;The monster is blicking the record.;bat.break.record.mov;bat.flatten.cupcake.mov;1;comb.break.cookies.mov;0;The monster is blicking the bagel. ;bat.cut.bagel.mov;The monster is blicking the grocery bag. ;bat.empty.grocerybag.mov;The monster is blicking the nuts.;bat.crush.nuts.mov;bat.open.babybottle.mov;1;pliers.break.eyeglasses.mov;0;2,5
MeansCondition;7;2;Causal;Means;comb;rip;gossing;comb;The monster is gossing the armchair.;comb.rip.armchair.mov;bat.rip.kite.mov;0;comb.open.book.mov;1;The monster is gossing the bowl. ;comb.empty.bowl.mov;The monster is gossing the pie. ;comb.cut.pie.mov;The monster is gossing the coat hanger.;comb.bend.coathanger.mov;hammer.rip.shirt.mov;0;comb.flatten.burger.mov;1;2,5
MeansCondition;7;3;Causal;Means;crowbar;open;zicking;crowbar;The monster is zicking the grill.;crowbar.open.grill.mov;crowbar.rip.pillow.mov;1;trowel.open.door.mov;0;The monster is zicking the soap. ;crowbar.crush.soap.mov;The monster is zicking the turner. ;crowbar.bend.turner.mov;The monster is zicking the cucumber.;crowbar.cut.cucumber.mov;crowbar.break.shoe.mov;1;poker.open.window.mov;0;2,5
MeansCondition;7;4;Causal;Means;hammer;crush;nibbing;hammer;The monster is nibbing the strawberries.;hammer.crush.strawberries.mov;pliers.crush.candycanes.mov;0;hammer.empty.brushcontainer.mov;1;The monster is nibbing the envelope. ;hammer.open.envelope.mov;The monster is nibbing the sandwich. ;hammer.flatten.sandwich.mov;The monster is nibbing the bone.;hammer.break.bone.mov;comb.crush.juicebox.mov;0;hammer.cut.watermelon.mov;1;2,5
MeansCondition;7;5;Causal;Means;knife;cut;gorping;knife;The monster is gorping the bread.;knife.cut.bread.mov;knife.bend.fork.mov;1;poker.cut.curtain.mov;0;The monster is gorping the frame. ;knife.break.frame.mov;The monster is gorping the newspaper. ;knife.rip.newspaper.mov;The monster is gorping the box.;knife.open.box.mov;knife.crush.apple.mov;1;trowel.cut.cheese.mov;0;2,5
MeansCondition;7;6;Causal;Means;pliers;bend;klebbing;pliers;The monster is klebbing the candle.;pliers.bend.candle.mov;hammer.bend.sunflower.mov;0;pliers.cut.pizza.mov;1;The monster is klebbing the pumpkin. ;pliers.flatten.pumpkin.mov;The monster is klebbing the jar. ;pliers.open.jar.mov;The monster is klebbing the tablecloth.;pliers.rip.tablecloth.mov;bat.bend.flagpole.mov;0;pliers.empty.martiniglass.mov;1;2,5
MeansCondition;7;7;Causal;Means;poker;empty;wugging;poker;The monster is wugging the trash.;poker.empty.trash.mov;poker.crush.car.mov;1;knife.empty.goblet.mov;0;The monster is wugging the pants. ;poker.rip.pants.mov;The monster is wugging the piggybank. ;poker.break.piggybank.mov;The monster is wugging the cake.;poker.flatten.cake.mov;poker.bend.lamp.mov;1;crowbar.empty.detergentcontainer.mov;0;2,5
MeansCondition;7;8;Causal;Means;trowel;flatten;rolting;trowel;The monster is rolting the sand.;trowel.flatten.sand.mov;crowbar.flatten.donut.mov;0;trowel.break.flowerpot.mov;1;The monster is rolting the watering can. ;trowel.bend.wateringcan.mov;The monster is rolting the bottle. ;trowel.crush.bottle.mov;The monster is rolting the vase.;trowel.empty.vase.mov;knife.flatten.sponge.mov;0;trowel.rip.sack.mov;1;2,5
