List,Experiment,amyFileName,itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigGoingTo,ambigDidIt,ambigV,whichOne,mBiasV,mBiasAns,pBiasV,pBiasAns,trainS1Going,trainS1DidIt,trainV1,trainS2Going,trainS2DidIt,trainV2,trainS3Going,trainS3DidIt,trainV3,mTestV,mTestAns,pTestV,pTestAns,movieLenght,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio,starImage
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.3,Motion,Manner,sail ,up,sterping,sail ,The boy is going to sterp up to the swan.,The boy sterped up to the swan.,sail.up.swan.mov,Which one is sterping?,sail.down.seal.mov,1,carpet.up.monkey.mov,0,The boy is going to sterp in front of the penguin.,The boy sterped in front of the penguin.,sail.front.penguin.mov,The boy is going to sterp around the seagull.,The boy sterped around the seagull.,sail.around.seagull.mov,The boy is going to sterp through the waterfall.,The boy sterped through the waterfall.,sail.through.waterfall.mov,fly.up.bus.mov,0,sail.over.float.mov,1,7,sterping_manner_future_swan.wav,sterping_manner_past_swan.wav,sterping_manner_future_penguin.wav,sterping_manner_past_penguin.wav,sterping_manner_future_seagull.wav,sterping_manner_past_seagull.wav,sterping_manner_future_waterfall.wav,sterping_manner_past_waterfall.wav,which_sterping.wav,letsfindsterping.wav,stars.006.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.4,Motion,Manner,sled,around,rithing,sled,The man is going to rith around the penguin.,The man rithed around the penguin.,sled.around.penguin.mov,Which one is rithing?,bike.around.birdhouse.mov,0,sled.behind.polarbear.mov,1,The man is going to rith into the cabin.,The man rithed into the cabin.,sled.into.cabin.mov,The man is going to rith up to the gingerbread house.,The man rithed up to the gingerbread house.,sled.up.ginger.mov,The man is going to rith down to the bear.,The man rithed down to the bear.,sled.down.bear.mov,sled.under.butterflies.mov,1,skate.around.horse.mov,0,7,rithing_manner_future_penguin.wav,rithing_manner_past_penguin.wav,rithing_manner_future_cabin.wav,rithing_manner_past_cabin.wav,rithing_manner_future_ginger.wav,rithing_manner_past_ginger.wav,rithing_manner_future_bear.wav,rithing_manner_past_bear.wav,which_rithing.wav,letsfindrithing.wav,stars.007.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.5,Motion,Manner,ski,between,lorping,ski,The man is going to lorp between the trees.,The man lorped between the trees.,ski.btw.trees.mov,Which one is lorping?,ski.into.igloo.mov,1,camel.between.trees.mov,0,The man is going to lorp around the deer.,The man lorped around the deer.,ski.around.deer.mov,The man is going to lorp through the gate. ,The man lorped through the gate. ,ski.through.gate.mov,The man is going to lorp under the rainbow.,The man lorped under the rainbow.,ski.under.rainbow.mov,sail.between.mountains.mov,0,ski.up.snowman.mov,1,7,lorping_manner_future_trees.wav,lorping_manner_past_trees.wav,lorping_manner_future_deer.wav,lorping_manner_past_deer.wav,lorping_manner_future_gate.wav,lorping_manner_past_gate.wav,lorping_manner_future_rainbow.wav,lorping_manner_past_rainbow.wav,which_lorping.wav,letsfindlorping.wav,stars.008.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.6,Motion,Manner,fly,through,janging,fly,The man is going to jang through the clouds.,The man janged through the clouds.,fly.through.clouds.mov,Which one is janging?,drive.through.tunnel.mov,0,fly.under.birds.mov,1,The man is going to jang down to the cow.,The man janged down to the cow.,fly.down.cow.mov,The man is going to jang between the buildings.,The man janged between the buildings.,fly.btw.buildings.mov,The man is going to jang over the rollercoaster.,The man janged over the rollercoaster.,fly.over.rollercoaster.mov,fly.behind.kite.mov,1,sled.through.tree.mov,0,7,janging_manner_future_clouds.wav,janging_manner_past_clouds.wav,janging_manner_future_cow.wav,janging_manner_past_cow.wav,janging_manner_future_buildings.wav,janging_manner_past_buildings.wav,janging_manner_future_rollercoaster.wav,janging_manner_past_rollercoaster.wav,which_janging.wav,letsfindjanging.wav,stars.009.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.7,Motion,Manner,balloon,over,feaving,balloon,The girl is going to feave over the eagle.,The girl feaved over the eagle.,balloon.over.eagle.mov,Which one is feaving?,balloon.up.train.mov,1,ski.over.bush.mov,0,The girl is going to feave between the hills.,The girl feaved between the hills.,balloon.between.hills.mov,The girl is going to feave through the flowers.,The girl feaved through the flowers.,balloon.through.flowers.mov,The girl is going to feave in front of the sunflowers.,The girl feaved in front of the sunflowers.,balloon.front.sunflowers.mov,carpet.over.tiger.mov,0,balloon.down.dog.mov,1,7,feaving_manner_future_eagle.wav,feaving_manner_past_eagle.wav,feaving_manner_future_hills.wav,feaving_manner_past_hills.wav,feaving_manner_future_flowers.wav,feaving_manner_past_flowers.wav,feaving_manner_future_sunflowers.wav,feaving_manner_past_sunflowers.wav,which_feaving.wav,letsfindfeaving.wav,stars.010.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.8,Motion,Manner,camel,front,pilking,camel,The man is going to pilk in front of the pyramid.,The man pilked in front of the pyramid.,camel.front.pyramid.mov,Which one is pilking?,sled.front.bunny.mov,0,camel.around.goat.mov,1,The man is going to pilk up to the palmtree.,The man pilked up to the palmtree.,camel.up.palmtree.mov,The man is going to pilk behind the cactus.,The man pilked behind the cactus.,camel.behind.cactus.mov,The man is going to pilk into the castle.,The man pilked into the castle.,camel.into.castle.mov,camel.through.oasis.mov,1,drive.front.horse.mov,0,7,pilking_manner_future_pyramid.wav,pilking_manner_past_pyramid.wav,pilking_manner_future_palmtree.wav,pilking_manner_past_palmtree.wav,pilking_manner_future_cactus.wav,pilking_manner_past_cactus.wav,pilking_manner_future_castle.wav,pilking_manner_past_castle.wav,which_pilking.wav,letsfindpilking.wav,stars.011.jpg
3,MoM_Agentive,PathCondition,3.1,Motion,Path,crabwalk,into,krading,into,The monster is going to krade into the garage.,The monster kraded into the garage.,crabwalk.into.garage.mov,Which one is krading?,crabwalk.down.birdhouse.mov,1,hop.into.cabin.mov,0,The monster is going to krade into the barn. ,The monster kraded into the barn. ,stoopwalk.into.barn.mov,The monster is going to krade into the spaceship. ,The monster kraded into the spaceship. ,tiptoe.into.spaceship.mov,The monster is going to krade into the castle.,The monster kraded into the castle.,walk.into.castle.mov,roll.into.tower.mov,1,crabwalk.up.cat.mov,0,7.1,krading_path_future_garage.wav,krading_path_past_garage.wav,krading_path_future_barn.wav,krading_path_past_barn.wav,krading_path_future_spaceship.wav,krading_path_past_spaceship.wav,krading_path_future_castle.wav,krading_path_past_castle.wav,which_krading.wav,letsfindkrading.wav,stars.004.jpg
3,MoM_Agentive,PathCondition,3.2,Motion,Path,crawl,down,glipping,down,The monster is going to glip down to the clown.,The monster glipped down to the clown.,crawl.down.clown.mov,Which one is glipping?,flapwalk.down.frog.mov,0,crawl.into.cave.mov,1,The monster is going to glip down to the eagle. ,The monster glipped down to the eagle. ,roll.down.eagle.mov,The monster is going to glip down to the cow. ,The monster glipped down to the cow. ,walk.down.cow.mov,The monster is going to glip down to the dog.,The monster glipped down to the dog.,tiptoe.down.dog.mov,crawl.around.birdhouse.mov,0,stoopwalk.down.lamp.mov,1,7.1,glipping_path_future_clown.wav,glipping_path_past_clown.wav,glipping_path_future_eagle.wav,glipping_path_past_eagle.wav,glipping_path_future_cow.wav,glipping_path_past_cow.wav,glipping_path_future_dog.wav,glipping_path_past_dog.wav,which_glipping.wav,letsfindglipping.wav,stars.005.jpg
3,MoM_Agentive,PathCondition,3.3,Motion,Path,flapwalk,up,zarking,up,The monster is going to zark up to the cat.,The monster zarked up to the cat.,flapwalk.up.cat.mov,Which one is zarking?,flapwalk.around.horse.mov,1,crawl.up.swan.mov,0,The monster is going to zark up to the owl. ,The monster zarked up to the owl. ,walk.up.owl.mov,The monster is going to zark up to the snowman. ,The monster zarked up to the snowman. ,roll.up.snowman.mov,The monster is going to zark up to the monkey.,The monster zarked up to the monkey.,stoopwalk.up.monkey.mov,tiptoe.up.well.mov,1,flapwalk.into.igloo.mov,0,7.1,zarking_path_future_cat.wav,zarking_path_past_cat.wav,zarking_path_future_owl.wav,zarking_path_past_owl.wav,zarking_path_future_snowman.wav,zarking_path_past_snowman.wav,zarking_path_future_monkey.wav,zarking_path_past_monkey.wav,which_zarking.wav,letsfindzarking.wav,stars.006.jpg
3,MoM_Agentive,PathCondition,3.4,Motion,Path,hop,around,molking,around,The monster is going to molk around the penguin.,The monster molked around the penguin.,hop.around.penguin.mov,Which one is molking?,crabwalk.around.firehouse.mov,0,hop.up.deer.mov,1,The monster is going to molk around the spaceship. ,The monster molked around the spaceship. ,tiptoe.around.spaceship.mov,The monster is going to molk around the fountain. ,The monster molked around the fountain. ,stoopwalk.around.fountain.mov,The monster is going to molk around the drum.,The monster molked around the drum.,roll.around.drum.mov,hop.down.gazebo.mov,0,walk.around.goat.mov,1,7.1,molking_path_future_penguin.wav,molking_path_past_penguin.wav,molking_path_future_spaceship.wav,molking_path_past_spaceship.wav,molking_path_future_fountain.wav,molking_path_past_fountain.wav,molking_path_future_drum.wav,molking_path_past_drum.wav,which_molking.wav,letsfindmolking.wav,stars.007.jpg
3,MoM_Agentive,PathCondition,3.5,Motion,Path,roll,between,torging,between,The monster is going to torg between the trees.,The monster torged between the trees.,roll.between.trees.mov,Which one is torging?,roll.through.tent.mov,1,walk.between.buildings.mov,0,The monster is going to torg between the mailboxes. ,The monster torged between the mailboxes. ,crawl.between.mailboxes.mov,The monster is going to torg between the seesaws. ,The monster torged between the seesaws. ,flapwalk.between.seesaws.mov,The monster is going to torg between the snowmen.,The monster torged between the snowmen.,hop.between.snowmen.mov,crabwalk.between.lights.mov,1,roll.over.bush.mov,0,7.1,torging_path_future_trees.wav,torging_path_past_trees.wav,torging_path_future_mailboxes.wav,torging_path_past_mailboxes.wav,torging_path_future_seesaws.wav,torging_path_past_seesaws.wav,torging_path_future_snowmen.wav,torging_path_past_snowmen.wav,which_torging.wav,letsfindtorging.wav,stars.008.jpg
3,MoM_Agentive,PathCondition,3.6,Motion,Path,stoopwalk,through,pimming,through,The monster is going to pim through the flowers.,The monster pimmed through the flowers.,stoopwalk.through.flowers.mov,Which one is pimming?,tiptoe.through.lighthouse.mov,0,stoopwalk.between.swings.mov,1,The monster is going to pim through the tunnel. ,The monster pimmed through the tunnel. ,crabwalk.through.tunnel.mov,The monster is going to pim through the tree. ,The monster pimmed through the tree. ,hop.through.tree.mov,The monster is going to pim through the waterfall.,The monster pimmed through the waterfall.,flapwalk.through.waterfall.mov,stoopwalk.front.fishtank.mov,0,crawl.through.pyramid.mov,1,7.1,pimming_path_future_flowers.wav,pimming_path_past_flowers.wav,pimming_path_future_tunnel.wav,pimming_path_past_tunnel.wav,pimming_path_future_tree.wav,pimming_path_past_tree.wav,pimming_path_future_waterfall.wav,pimming_path_past_waterfall.wav,which_pimming.wav,letsfindpimming.wav,stars.009.jpg
3,MoM_Agentive,PathCondition,3.7,Motion,Path,tiptoe,over,birking,over,The monster is going to birk over the cone.,The monster birked over the cone.,tiptoe.over.cone.mov,Which one is birking?,tiptoe.front.snowplow.mov,1,stoopwalk.over.haystack.mov,0,The monster is going to birk over the book. ,The monster birked over the book. ,hop.over.book.mov,The monster is going to birk over the tires. ,The monster birked over the tires. ,crabwalk.over.tires.mov,The monster is going to birk over the mountain.,The monster birked over the mountain.,crawl.over.mountain.mov,flapwalk.over.plane.mov,1,tiptoe.between.pigs.mov,0,7.1,birking_path_future_cone.wav,birking_path_past_cone.wav,birking_path_future_book.wav,birking_path_past_book.wav,birking_path_future_tires.wav,birking_path_past_tires.wav,birking_path_future_mountain.wav,birking_path_past_mountain.wav,which_birking.wav,letsfindbirking.wav,stars.010.jpg
3,MoM_Agentive,PathCondition,3.8,Motion,Path,walk,front,dacking,front,The monster is going to dack in front of the elephant.,The monster dacked in front of the elephant.,walk.front.elephant.mov,Which one is dacking?,roll.front.giraffe.mov,0,walk.over.sandpile.mov,1,The monster is going to dack in front of the penguin. ,The monster dacked in front of the penguin. ,flapwalk.front.penguin.mov,The monster is going to dack in front of the bench. ,The monster dacked in front of the bench. ,crawl.front.bench.mov,The monster is going to dack in front of the bell.,The monster dacked in front of the bell.,crabwalk.front.bell.mov,walk.through.hut.mov,0,hop.front.bunny.mov,1,7.1,dacking_path_future_elephant.wav,dacking_path_past_elephant.wav,dacking_path_future_penguin.wav,dacking_path_past_penguin.wav,dacking_path_future_bench.wav,dacking_path_past_bench.wav,dacking_path_future_bell.wav,dacking_path_past_bell.wav,which_dacking.wav,letsfinddacking.wav,stars.011.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.1,Motion,Path,drive,into,noming,into,The man is going to nom into the garage.,The man nommed into the garage.,drive.into.house.mov,Which one is nomming?,drive.over.cone.mov,1,fly.into.spaceship.mov,0,The girl is going to nom into the barn.,The girl nommed into the barn.,skate.into.barn.mov,The boy is going to nom into the cave.,The boy nommed into the cave.,sail.into.cave.mov,The girl is going to nom into the tree.,The girl nommed into the tree.,balloon.into.tree.mov,bike.into.truck.mov,1,drive.around.firehouse.mov,0,7,noming_path_future_house.wav,noming_path_past_house.wav,noming_path_future_barn.wav,noming_path_past_barn.wav,noming_path_future_cave.wav,noming_path_past_cave.wav,noming_path_future_tree.wav,noming_path_past_tree.wav,which_noming.wav,letsfindnoming.wav,stars.004.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.2,Motion,Path,carpet,down,meeping,down,The boy is going to meep down to the lamp.,The boy meeped down to the lamp.,carpet.down.lamp.mov,Which one is meeping?,skate.down.seesaw.mov,0,carpet.btw.thrones.mov,1,The man is going to meep down to the clown.,The man meeped down to the clown.,bike.down.clown.mov,The man is going to meep down to the bear.,The man meeped down to the bear.,sled.down.bear.mov,The man is going to meep down to the cow.,The man meeped down to the cow.,fly.down.cow.mov,carpet.into.tower.mov,0,ski.down.owl.mov,1,7,meeping_path_future_lamp.wav,meeping_path_past_lamp.wav,meeping_path_future_clown.wav,meeping_path_past_clown.wav,meeping_path_future_bear.wav,meeping_path_past_bear.wav,meeping_path_future_cow.wav,meeping_path_past_cow.wav,which_meeping.wav,letsfindmeeping.wav,stars.005.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.3,Motion,Path,sail ,up,sterping,up,The boy is going to sterp up to the swan.,The boy sterped up to the swan.,sail.up.swan.mov,Which one is sterping?,sail.down.seal.mov,1,carpet.up.monkey.mov,0,The man is going to sterp up to the palm tree.,The man sterped up to the palm tree.,camel.up.palmtree.mov,The girl is going to sterp up to the dog.,The girl sterped up to the dog.,skate.up.dog.mov,The man is going to sterp up to the gingerbread house.,The man sterped up to the gingerbread house.,sled.up.ginger.mov,fly.up.bus.mov,1,sail.over.float.mov,0,7,sterping_path_future_swan.wav,sterping_path_past_swan.wav,sterping_path_future_palmtree.wav,sterping_path_past_palmtree.wav,sterping_path_future_dog.wav,sterping_path_past_dog.wav,sterping_path_future_ginger.wav,sterping_path_past_ginger.wav,which_sterping.wav,letsfindsterping.wav,stars.006.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.4,Motion,Path,sled,around,rithing,around,The man is going to rith around the penguin.,The man rithed around the penguin.,sled.around.penguin.mov,Which one is rithing?,bike.around.birdhouse.mov,0,sled.behind.polarbear.mov,1,The man is going to rith around the deer.,The man rithed around the deer.,ski.around.deer.mov,The man is going to rith around the fountain.,The man rithed around the fountain.,fly.around.fountain.mov,The girl is going to rith around the city.,The girl rithed around the city.,balloon.around.city.mov,sled.under.butterflies.mov,0,skate.around.horse.mov,1,7,rithing_path_future_penguin.wav,rithing_path_past_penguin.wav,rithing_path_future_deer.wav,rithing_path_past_deer.wav,rithing_path_future_fountain.wav,rithing_path_past_fountain.wav,rithing_path_future_city.wav,rithing_path_past_city.wav,which_rithing.wav,letsfindrithing.wav,stars.007.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.5,Motion,Path,ski,between,lorping,between,The man is going to lorp between the trees.,The man lorped between the trees.,ski.btw.trees.mov,Which one is lorping?,ski.into.igloo.mov,1,camel.between.trees.mov,0,The man is going to lorp between the snowmen.,The man lorped between the snowmen.,sled.btw.snowmen.mov,The man is going to lorp between the mailboxes.,The man lorped between the mailboxes.,bike.between.mailboxes.mov,The man is going to lorp between the lampposts.,The man lorped between the lampposts.,drive.between.lights.mov,sail.between.mountains.mov,1,ski.up.snowman.mov,0,7,lorping_path_future_trees.wav,lorping_path_past_trees.wav,lorping_path_future_snowmen.wav,lorping_path_past_snowmen.wav,lorping_path_future_mailboxes.wav,lorping_path_past_mailboxes.wav,lorping_path_future_lights.wav,lorping_path_past_lights.wav,which_lorping.wav,letsfindlorping.wav,stars.008.jpg
4,MoM_Instrumental,PathCondition_Instrumental,3.6,Motion,Path,fly,through,janging,through,The man is going to jang through the clouds.,The man janged through the clouds.,fly.through.clouds.mov,Which one is janging?,drive.through.tunnel.mov,0,fly.under.birds.mov,1,The boy is going to jang through the flowers.,The boy janged through the flowers.,carpet.through.flowers.mov,The boy is going to jang through the waterfall.,The boy janged through the waterfall.,sail.through.waterfall.mov,The man is going to jang through the gate. ,The man janged through the gate. ,ski.through.gate.mov,fly.behind.kite.mov,0,sled.through.tree.mov,1,7,janging_path_future_clouds.wav,janging_path_past_clouds.wav,janging_path_future_flowers.wav,janging_path_past_flowers.wav,janging_path_future_waterfall.wav,janging_path_past_waterfall.wav,janging_path_future_gate.wav,janging_path_past_gate.wav,which_janging.wav,letsfindjanging.wav,stars.009.jpg
